ds,y
2020/2/1,1
2020/2/2,3
2020/2/3,5
2020/2/4,5
2020/2/5,2
2020/2/6,1
2020/2/7,0
2020/2/8,1
2020/2/9,1
2020/2/10,5
2020/2/11,3
2020/2/12,5
2020/2/13,2
2020/2/14,4
2020/2/15,3
2020/2/16,4
2020/2/17,5
2020/2/18,6
2020/2/19,1
2020/2/20,5
2020/2/21,7
2020/2/22,1
2020/2/23,1
2020/2/24,4
2020/2/25,5
2020/2/26,4
2020/2/27,6
2020/2/28,8
2020/2/29,7
2020/3/1,4
2020/3/2,8
2020/3/3,8
2020/3/4,9
2020/3/5,10
2020/3/6,12
2020/3/7,9
2020/3/8,8
2020/3/9,13
2020/3/10,18
2020/3/11,15
2020/3/12,23
2020/3/13,29
2020/3/14,19
2020/3/15,17
2020/3/16,26
2020/3/17,32
2020/3/18,35
2020/3/19,42
2020/3/20,44
2020/3/21,28
2020/3/22,34
2020/3/23,38
2020/3/24,53
2020/3/25,39
2020/3/26,49
2020/3/27,64
2020/3/28,45
2020/3/29,40
2020/3/30,81
2020/3/31,72
2020/4/1,68
2020/4/2,77
2020/4/3,65
2020/4/4,41
2020/4/5,33
2020/4/6,62
2020/4/7,87
2020/4/8,81
2020/4/9,78
2020/4/10,86
2020/4/11,59
2020/4/12,54
2020/4/13,102
2020/4/14,78
2020/4/15,91
2020/4/16,104
2020/4/17,97
2020/4/18,64
2020/4/19,57
2020/4/20,103
2020/4/21,91
2020/4/22,104
2020/4/23,86
2020/4/24,103
2020/4/25,72
2020/4/26,103
2020/4/27,99
2020/4/28,99
2020/4/29,93
2020/4/30,96
2020/5/1,59
2020/5/2,60
2020/5/3,72
2020/5/4,72
2020/5/5,76
2020/5/6,104
2020/5/7,98
2020/5/8,96
2020/5/9,104
2020/5/10,78
2020/5/11,118
2020/5/12,92
2020/5/13,115
2020/5/14,101
2020/5/15,106
2020/5/16,85
2020/5/17,70
2020/5/18,113
2020/5/19,119
2020/5/20,112
2020/5/21,104
2020/5/22,105
2020/5/23,86
2020/5/24,86
2020/5/25,94
2020/5/26,118
2020/5/27,113
2020/5/28,100
2020/5/29,129
2020/5/30,75
2020/5/31,76
2020/6/1,124
2020/6/2,97
2020/6/3,109
2020/6/4,109
2020/6/5,95
2020/6/6,68
2020/6/7,76
2020/6/8,109
2020/6/9,118
2020/6/10,107
2020/6/11,107
2020/6/12,106
2020/6/13,76
2020/6/14,75
2020/6/15,119
2020/6/16,114
2020/6/17,127
2020/6/18,116
2020/6/19,114
2020/6/20,89
2020/6/21,84
2020/6/22,95
2020/6/23,109
2020/6/24,106
2020/6/25,71
2020/6/26,71
2020/6/27,62
2020/6/28,105
2020/6/29,114
2020/6/30,120
