ds,y,weather,temp_high,temp_low
2020/2/1,2,0,0,0
2020/2/2,2,0,0,0
2020/2/3,0,-1,4,-1
2020/2/4,-3,1,-3,1
2020/2/5,-1,0,-1,0
2020/2/6,-1,-1,2,1
2020/2/7,1,0,0,0
2020/2/8,0,1,1,1
2020/2/9,4,0,-1,0
2020/2/10,-2,-1,3,0
2020/2/11,2,0,3,-2
2020/2/12,-3,0,1,3
2020/2/13,2,1,-5,-7
2020/2/14,-1,0,-6,0
2020/2/15,1,-1,2,-1
2020/2/16,1,0,3,3
2020/2/17,1,1,-1,3
2020/2/18,-5,-1,2,-1
2020/2/19,4,1,-2,0
2020/2/20,2,-1,2,0
2020/2/21,-6,0,-1,2
2020/2/22,0,0,2,1
2020/2/23,3,1,-1,-1
2020/2/24,1,-1,3,1
2020/2/25,-1,1,-2,0
2020/2/26,2,0,0,1
2020/2/27,2,0,0,-2
2020/2/28,-1,-1,3,0
2020/2/29,-3,1,0,0
2020/3/1,4,0,-5,1
2020/3/2,0,0,-1,-1
2020/3/3,1,0,1,0
2020/3/4,1,-1,2,0
2020/3/5,2,0,1,1
2020/3/6,-3,0,0,-1
2020/3/7,-1,1,1,4
2020/3/8,5,-1,1,-2
2020/3/9,5,0,1,-1
2020/3/10,-3,1,-4,1
2020/3/11,8,0,3,0
2020/3/12,6,-1,0,1
2020/3/13,-10,0,-1,-1
2020/3/14,-2,1,2,1
2020/3/15,9,0,-2,0
2020/3/16,6,-1,1,-1
2020/3/17,3,0,4,-1
2020/3/18,7,0,2,3
2020/3/19,2,0,3,1
2020/3/20,-16,0,0,1
2020/3/21,6,0,-2,1
2020/3/22,4,0,1,1
2020/3/23,15,1,-1,0
2020/3/24,-14,-1,2,-2
2020/3/25,10,1,2,3
2020/3/26,15,0,-12,-7
2020/3/27,-19,0,-1,0
2020/3/28,-5,0,-2,-1
2020/3/29,41,-1,5,1
2020/3/30,-9,0,3,1
2020/3/31,-4,1,-3,0
2020/4/1,9,0,-2,1
2020/4/2,-12,0,1,-1
2020/4/3,-24,0,-1,-1
2020/4/4,-8,0,-2,0
2020/4/5,29,-1,1,1
2020/4/6,25,1,5,-1
2020/4/7,-6,-1,0,3
2020/4/8,-3,1,6,-2
2020/4/9,8,0,-7,2
2020/4/10,-27,0,-1,-3
2020/4/11,-5,-1,5,2
2020/4/12,48,1,-3,1
2020/4/13,-24,-1,5,0
2020/4/14,13,0,1,4
2020/4/15,13,1,2,-2
2020/4/16,-7,0,-4,3
2020/4/17,-33,0,-3,-3
2020/4/18,-7,0,2,-1
2020/4/19,46,0,-5,1
2020/4/20,-12,0,-2,-2
2020/4/21,13,0,-3,-3
2020/4/22,-18,0,0,0
2020/4/23,17,-1,4,-1
2020/4/24,-31,0,2,1
2020/4/25,31,0,6,1
2020/4/26,-4,0,3,2
2020/4/27,0,0,2,2
2020/4/28,-6,1,0,2
2020/4/29,3,0,-5,0
2020/4/30,-37,-1,4,-1
2020/5/1,1,0,2,3
2020/5/2,12,0,3,0
2020/5/3,0,1,-4,4
2020/5/4,4,0,3,-1
2020/5/5,28,0,-1,-2
2020/5/6,-6,0,0,2
2020/5/7,-2,-1,-5,-5
2020/5/8,8,0,-1,0
2020/5/9,-26,1,2,0
2020/5/10,40,0,-3,0
2020/5/11,-26,0,1,0
2020/5/12,23,0,-2,0
2020/5/13,-14,-1,0,0
2020/5/14,5,1,7,-1
2020/5/15,-21,-1,-2,4
2020/5/16,-15,0,1,1
2020/5/17,43,0,3,-1
2020/5/18,6,1,1,0
2020/5/19,-7,0,-5,3
2020/5/20,-8,0,-2,-3
2020/5/21,1,-1,1,0
2020/5/22,-19,0,5,0
2020/5/23,0,1,-9,-2
2020/5/24,8,0,-3,-1
2020/5/25,24,0,3,-1
2020/5/26,-5,0,-2,2
2020/5/27,-13,-1,3,-1
2020/5/28,29,0,3,1
2020/5/29,-54,1,3,2
2020/5/30,1,0,-3,0
2020/5/31,48,0,3,0
2020/6/1,-27,0,-7,-3
2020/6/2,12,-1,2,0
2020/6/3,0,0,4,2
2020/6/4,-14,0,2,1
2020/6/5,-27,0,0,2
2020/6/6,8,1,-2,-1
2020/6/7,33,0,-4,-1
2020/6/8,9,0,1,0
2020/6/9,-11,0,3,1
2020/6/10,0,0,0,1
2020/6/11,-1,0,-2,0
2020/6/12,-30,0,1,-1
2020/6/13,-1,0,0,1
2020/6/14,44,-1,4,2
2020/6/15,-5,1,2,0
2020/6/16,13,0,-9,-4
2020/6/17,-11,-1,3,1
2020/6/18,-2,1,2,1
2020/6/19,-25,0,-4,-2
2020/6/20,-5,0,-1,0
2020/6/21,11,0,0,1
2020/6/22,14,0,2,1
2020/6/23,-3,-1,2,-1
2020/6/24,-35,0,3,1
2020/6/25,0,1,2,2
2020/6/26,-9,0,-11,-5
2020/6/27,43,0,4,2
2020/6/28,9,-1,4,2
2020/6/29,6,1,-2,1
,,,,
