ds,y
2020/2/1,0
2020/2/2,1
2020/2/3,3
2020/2/4,3
2020/2/6,3
2020/2/7,1
2020/2/9,2
2020/2/10,7
2020/2/11,4
2020/2/12,3
2020/2/14,1
2020/2/15,2
2020/2/16,2
2020/2/17,2
2020/2/18,2
2020/2/19,1
2020/2/20,1
2020/2/21,1
2020/2/22,5
2020/2/23,2
2020/2/24,3
2020/2/25,7
2020/2/26,8
2020/2/27,10
2020/2/28,9
2020/2/29,4
2020/3/1,10
2020/3/2,12
2020/3/3,9
2020/3/4,13
2020/3/5,16
2020/3/6,26
2020/3/7,14
2020/3/8,12
2020/3/9,23
2020/3/10,32
2020/3/11,44
2020/3/12,47
2020/3/13,50
2020/3/14,28
2020/3/15,21
2020/3/16,73
2020/3/17,65
2020/3/18,74
2020/3/19,80
2020/3/20,73
2020/3/21,45
2020/3/22,51
2020/3/23,93
2020/3/24,102
2020/3/25,96
2020/3/26,111
2020/3/27,121
2020/3/28,54
2020/3/29,63
2020/3/30,139
2020/3/31,133
2020/4/1,137
2020/4/2,123
2020/4/3,128
2020/4/4,55
2020/4/5,55
2020/4/6,99
2020/4/7,174
2020/4/8,153
2020/4/9,170
2020/4/10,161
2020/4/11,107
2020/4/12,103
2020/4/13,160
2020/4/14,153
2020/4/15,159
2020/4/16,163
2020/4/17,173
2020/4/18,128
2020/4/19,96
2020/4/20,179
2020/4/21,179
2020/4/22,199
2020/4/23,210
2020/4/24,194
2020/4/25,146
2020/4/26,194
2020/4/27,218
2020/4/28,217
2020/4/29,186
2020/4/30,188
2020/5/1,116
2020/5/2,90
2020/5/3,91
2020/5/4,93
2020/5/5,107
2020/5/6,206
2020/5/7,203
2020/5/8,214
2020/5/9,226
2020/5/10,123
2020/5/11,229
2020/5/12,228
2020/5/13,231
2020/5/14,222
2020/5/15,239
2020/5/16,138
2020/5/17,130
2020/5/18,240
2020/5/19,231
2020/5/20,231
2020/5/21,240
2020/5/22,223
2020/5/23,142
2020/5/24,110
2020/5/25,220
2020/5/26,229
2020/5/27,222
2020/5/28,241
2020/5/29,217
2020/5/30,150
2020/5/31,109
2020/6/1,230
2020/6/2,212
2020/6/3,228
2020/6/4,233
2020/6/5,237
2020/6/6,161
2020/6/7,116
2020/6/8,246
2020/6/9,227
2020/6/10,223
2020/6/11,235
2020/6/12,243
2020/6/13,150
2020/6/14,123
2020/6/15,235
2020/6/16,225
2020/6/17,229
2020/6/18,224
2020/6/19,281
2020/6/20,148
2020/6/21,140
2020/6/22,220
2020/6/23,227
2020/6/24,241
2020/6/25,104
2020/6/26,111
2020/6/27,101
2020/6/28,220
2020/6/29,233
2020/6/30,227
2020/7/1,196
2020/7/2,230
2020/7/3,231
2020/7/4,144
2020/7/5,122
2020/7/6,207
2020/7/7,239
2020/7/8,258
2020/7/9,249
2020/7/10,266
2020/7/11,145
2020/7/12,126
2020/7/13,267
2020/7/14,251
2020/7/15,260
2020/7/16,238
