ds,y
2020/2/1,194
2020/2/2,166
2020/2/3,174
2020/2/4,160
2020/2/5,162
2020/2/6,144
2020/2/7,158
2020/2/8,142
2020/2/9,172
2020/2/10,199
2020/2/11,150
2020/2/12,160
2020/2/13,163
2020/2/14,177
2020/2/15,137
2020/2/16,147
2020/2/17,195
2020/2/18,217
2020/2/19,221
2020/2/20,220
2020/2/21,218
2020/2/22,225
2020/2/23,226
2020/2/24,290
2020/2/25,308
2020/2/26,376
2020/2/27,367
2020/2/28,421
2020/2/29,350
2020/3/1,388
2020/3/2,623
2020/3/3,623
2020/3/4,675
2020/3/5,810
2020/3/6,869
2020/3/7,690
2020/3/8,679
2020/3/9,1060
2020/3/10,1163
2020/3/11,1170
2020/3/12,1423
2020/3/13,1394
2020/3/14,1215
2020/3/15,1163
2020/3/16,1960
2020/3/17,2198
2020/3/18,2374
2020/3/19,2445
2020/3/20,2622
2020/3/21,2108
2020/3/22,1967
2020/3/23,2919
2020/3/24,3136
2020/3/25,2795
2020/3/26,3180
2020/3/27,3302
2020/3/28,2503
2020/3/29,2465
2020/3/30,3647
2020/3/31,3771
2020/4/1,3731
2020/4/2,3813
2020/4/3,3996
2020/4/4,2724
2020/4/5,2466
2020/4/6,3184
2020/4/7,4506
2020/4/8,4417
2020/4/9,4500
2020/4/10,4572
2020/4/11,3678
2020/4/12,3805
2020/4/13,4924
2020/4/14,4880
2020/4/15,4817
2020/4/16,4795
2020/4/17,5041
2020/4/18,3716
2020/4/19,3725
2020/4/20,5019
2020/4/21,4692
2020/4/22,4679
2020/4/23,4718
2020/4/24,5355
2020/4/25,4135
2020/4/26,5122
2020/4/27,5490
2020/4/28,5580
2020/4/29,5423
2020/4/30,6147
2020/5/1,4968
2020/5/2,5103
2020/5/3,5000
2020/5/4,4697
2020/5/5,4614
2020/5/6,5817
2020/5/7,5879
2020/5/8,6014
2020/5/9,6170
2020/5/10,4580
2020/5/11,5979
2020/5/12,6155
2020/5/13,6244
2020/5/14,6121
2020/5/15,6846
2020/5/16,5483
2020/5/17,5141
2020/5/18,6466
2020/5/19,6336
2020/5/20,6778
2020/5/21,6367
2020/5/22,6833
2020/5/23,5337
2020/5/24,4919
2020/5/25,6463
2020/5/26,6616
2020/5/27,6641
2020/5/28,6695
2020/5/29,7304
2020/5/30,5692
2020/5/31,5206
2020/6/1,7400
2020/6/2,6266
2020/6/3,6968
2020/6/4,6932
2020/6/5,6856
2020/6/6,6317
2020/6/7,5039
2020/6/8,6876
2020/6/9,7053
2020/6/10,6834
2020/6/11,7381
2020/6/12,7569
2020/6/13,6082
2020/6/14,5914
2020/6/15,7399
2020/6/16,6932
2020/6/17,6846
2020/6/18,7078
2020/6/19,7670
2020/6/20,5962
2020/6/21,5670
2020/6/22,6993
2020/6/23,7081
2020/6/24,8386
2020/6/25,5940
2020/6/26,5505
2020/6/27,5208
2020/6/28,7310
2020/6/29,7465
2020/6/30,7091
2020/7/1,3623
2020/7/2,5613
2020/7/3,6431
2020/7/4,5185
2020/7/5,4992
2020/7/6,6877
2020/7/7,6408
2020/7/8,7053
2020/7/9,6803
2020/7/10,7578
2020/7/11,6227
2020/7/12,6173
2020/7/13,7477
2020/7/14,7557
2020/7/15,7427
2020/7/16,7419
